Ano;MunicipioResidencia;NotaCh;NotaCn;NotaLc;NotaMt;UfResidencia;CoUfResidencia;Idade;NotaComp1;NotaComp2;NotaComp3;NotaComp4;NotaComp5;NotaRedacao;CorRaca;DependenciaAdmEsc;LocalizacaoEsc;StConclusao;StatusRedacao
2018;Rosário;505.1;403.8;514.6;372.5;MA;21;17;0;0;0;0;0;0;1;2;1;2;6
2018;São Luís;597.7;378.2;476.7;504.6;MA;21;18;120;120;120;120;60;540;3;2;1;2;1
2018;Axixá;458.9;424.1;478.6;385.3;MA;21;17;120;120;120;100;60;520;3;2;1;2;1
2018;Santa Luzia;617.8;617.2;573.2;542.9;MA;21;17;120;160;140;120;80;620;2;2;1;2;1
2018;Lago Verde;490.6;517.9;397.7;472.1;MA;21;17;100;60;80;120;20;380;3;2;1;2;1
2018;Bom Jesus do Tocantins;489.6;412.5;489.2;437.7;TO;17;18;80;40;40;80;40;280;1;2;1;2;1
2018;São Luís;607.9;420.4;516.9;430.5;MA;21;18;120;180;120;120;120;660;3;2;1;2;1
2018;Ferreira Gomes;506.3;398.9;438;373.1;AP;16;17;120;120;100;120;40;500;3;2;1;2;1
2018;Xambioá;475.2;403.2;376.6;473.3;TO;17;19;120;120;120;120;120;600;2;2;1;2;1
2018;Alto Parnaíba;450.7;439.7;391.1;526.2;MA;21;18;0;0;0;0;0;0;3;2;1;2;6
2018;Codó;558.3;557.9;459.8;470.3;MA;21;27;60;100;100;100;80;440;2;2;1;2;1
2018;São Luís;509;497;507;528.9;MA;21;17;160;120;140;120;140;680;2;4;1;2;1
2018;São Luís;589.2;531.4;508.9;424.1;MA;21;17;160;160;140;160;100;720;3;4;1;2;1
2018;Jaguaré;470.5;477.5;496.9;465.6;ES;21;18;100;120;120;120;80;540;3;4;1;2;1
2018;Caxias;556.5;506.4;548.1;599;MA;21;18;120;120;120;120;100;580;3;2;1;2;1
2018;Araguaína;525.8;465;423.4;493.1;TO;17;17;120;100;100;100;80;500;3;2;1;2;1
2018;Lajeado Novo;672.7;541.5;552.1;611.2;MA;21;17;140;160;120;120;140;680;3;2;1;2;1
2018;Porto Nacional;535.9;394.2;496.9;466.8;TO;17;18;80;40;40;80;40;280;3;2;1;2;1
2018;Coroatá;489.6;403.9;403.4;443.3;MA;21;18;120;120;100;160;0;500;2;2;1;2;1
2018;São Bernardo;493.7;436.6;490.8;453.4;MA;21;17;120;40;40;120;40;360;3;2;1;2;1
2018;Amarante do Maranhão;473.5;417.9;398.9;378.2;MA;21;18;80;40;40;80;0;240;3;2;1;2;1
2018;Barreirinhas;452.9;406.4;409.5;399.1;MA;21;18;0;0;0;0;0;0;3;2;1;2;6
2018;Santana;421.1;431.4;450.5;465.4;AP;16;18;120;140;120;160;140;680;3;2;1;2;1
2018;Vitória do Jari;479.2;396.5;510.3;493.3;AP;16;18;140;120;100;120;80;560;3;2;1;2;1
2018;São Luís;584.7;384.2;420.6;397.2;MA;21;17;140;140;120;80;120;600;1;2;1;2;1
2018;Natal;526;376.9;466.4;486.4;RN;21;18;0;0;0;0;0;0;3;2;1;2;3
2018;Mirador;513.1;430.7;493.2;479;MA;21;17;100;100;100;100;80;480;2;2;1;2;1
2018;Matões;548.4;484.4;409.9;433.8;MA;21;23;120;80;80;100;20;400;1;2;1;2;1
2018;Amapá do Maranhão;540.2;407.4;556.8;529.2;MA;21;17;120;40;40;100;20;320;3;2;1;2;1
2018;Macapá;476.9;366.9;471.4;464.4;AP;16;17;100;40;40;100;40;320;3;2;1;2;1
2018;São Pedro dos Crentes;548.6;454.7;400.3;428.9;MA;21;19;100;120;100;120;60;500;3;2;1;2;1
2018;Bacuri;459.2;497.6;491.2;444;MA;21;20;0;0;0;0;0;0;3;2;1;2;3
2018;Santa Quitéria do Maranhão;536.9;449.3;484.2;493.2;MA;21;17;40;120;80;80;0;320;3;2;1;2;1
2018;Araguatins;531.7;427.4;378.2;428.1;TO;17;18;100;40;40;100;0;280;3;2;1;2;1
2018;São Bernardo;597.2;378.5;485.7;412.1;MA;21;18;120;40;40;120;40;360;3;2;1;2;1
2018;Urbano Santos;595.3;463.3;572.4;438.3;MA;21;17;100;120;120;120;120;580;3;2;1;2;1
2018;São Luís;660.1;588.5;609.8;698;MA;21;17;100;120;120;120;80;540;1;2;1;2;1
2018;Zé Doca;582.5;528.2;470.5;456;MA;21;18;60;40;40;100;40;280;3;2;1;2;1
2018;São Luís;621.9;583.1;467.9;455.7;MA;21;18;160;40;40;180;40;460;3;2;1;2;1
2018;São Luís;434.1;478.6;520.3;474;MA;21;18;120;160;140;180;160;760;1;2;1;2;1
2018;Pastos Bons;438.5;408;496.4;414.9;MA;21;17;100;120;80;120;100;520;3;2;1;2;1
2018;Dom Pedro;449.6;419.4;510.1;468;MA;21;18;80;80;80;80;80;400;3;2;1;2;1
2018;São Luís;415.5;408.1;428.2;391.2;MA;21;17;120;120;100;80;80;500;1;2;1;2;1
2018;Milagres do Maranhão;567.6;419.1;448.8;425.7;MA;21;18;120;120;120;120;40;520;1;2;1;2;1
2018;Macapá;521.9;467.8;424.7;446;AP;16;19;120;40;40;80;40;320;3;2;1;2;1
2018;Macapá;541.7;404.1;548.6;490.2;AP;16;17;140;40;40;100;20;340;3;2;1;2;1
2018;São Luís;626;484.3;470.9;520.1;MA;21;18;140;40;40;120;60;400;3;2;1;2;1
2018;São Luís;546.8;421.7;554.7;458.9;MA;21;17;140;100;100;160;60;560;3;2;1;2;1
2018;Mirador;484.1;445;510.7;452.3;MA;21;17;160;40;40;140;40;420;3;2;1;2;1
2018;Macapá;611.3;508.2;593.1;617.5;AP;16;18;160;160;160;120;160;760;1;4;1;2;1
2018;Nova Colinas;431.6;397.3;351.1;464.5;MA;21;22;120;40;40;100;20;320;3;2;1;2;1
2018;Codó;579.3;410.4;460.3;400.2;MA;21;19;100;80;60;100;40;380;2;2;2;2;1
2018;Alfenas;617.4;469.8;535.5;493.5;MG;21;18;80;40;40;80;20;260;1;1;1;2;1
2018;Pinheiro;441.5;416.7;440.6;511.6;MA;21;19;0;0;0;0;0;0;2;1;1;2;4
2018;Macapá;507.8;476.4;452.6;485.2;AP;16;18;120;120;120;120;100;580;3;2;1;2;1
2018;Santa Quitéria do Maranhão;507.6;400.4;437.2;387.7;MA;21;19;140;120;120;180;160;720;3;2;1;2;1
2018;Paraibano;577.9;480.2;416.8;526.9;MA;21;19;120;40;40;120;40;360;1;2;1;2;1
2018;Imperatriz;542.5;418.7;429.2;484.4;MA;21;18;120;120;120;100;80;540;2;2;1;2;1
2018;Presidente Dutra;544.5;468;442.5;648.9;MA;21;17;120;120;100;80;60;480;3;2;1;2;1
2018;Pedreiras;566.8;532.9;440.3;459.6;MA;21;35;80;120;100;100;80;480;2;2;2;2;1
2018;Itapecuru Mirim;417.8;455.3;397.1;459.5;MA;21;18;40;40;40;60;20;200;3;2;2;2;1
2018;São Raimundo das Mangabeiras;479.9;430.1;393;417.6;MA;21;19;0;0;0;0;0;0;3;2;1;2;3
2018;Paraibano;504.1;425;437.4;422.6;MA;21;19;120;120;120;100;60;520;3;2;1;2;1
2018;São João do Paraíso;529.8;410.8;550.4;440.7;MA;21;17;120;160;120;140;140;680;3;2;1;2;1
2018;Alto Parnaíba;500.3;519.7;502.4;438.7;MA;21;17;140;120;120;120;80;580;3;2;1;2;1
2018;Araguaína;622;488.2;573.4;585.3;TO;17;18;160;160;160;160;160;800;3;2;1;2;1
2018;Chapadinha;572.1;569.7;511.6;434.5;MA;21;18;120;40;40;120;40;360;3;2;1;2;1
2018;Paranã;502.7;543.9;495.5;422.8;TO;17;18;120;40;40;120;40;360;2;2;2;2;1
2017;Recife;467.6;433.8;473.4;364.3;PE;17;20;80;120;100;120;60;480;3;2;1;2;1
2017;Macapá;427.4;434.4;470.7;354.6;AP;16;18;80;100;80;60;20;340;3;2;1;2;1
2017;Arraias;462.8;414.8;531.3;427.9;TO;17;17;160;120;140;160;100;680;3;2;1;2;1
2017;Santana;491.3;526.5;500.9;559.3;AP;16;16;120;120;80;120;120;560;1;2;1;2;1
2017;Ferreira Gomes;513.2;469.1;499.3;495.2;AP;16;18;140;120;100;80;100;540;3;2;1;2;1
2017;Santana;537.3;500.9;512.7;421.8;AP;16;18;140;120;120;120;80;580;3;2;1;2;1
2017;Palmas;446.3;551.5;566.8;571;TO;17;18;120;120;120;120;160;640;4;2;1;2;1
2017;Arapiraca;483.6;468;406.7;481.9;AL;16;19;120;120;120;80;120;560;3;2;1;2;1
2017;Macapá;407.1;402.3;404.3;441.2;AP;16;20;100;120;80;80;20;400;2;2;1;2;1
2017;Brasília;592.4;537.1;566.3;486.7;DF;17;17;100;120;120;120;60;520;3;2;1;2;1
2017;Macapá;505.1;434.2;483.7;405.6;AP;16;17;100;120;100;100;60;480;3;2;1;2;1
